Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
261;The Muppet Christmas Carol;Die Muppets Weihnachtsgeschichte;1992;Brian Henson;Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, Frank Oz;USA, UK;Nein;7,8;Walt Disney Pictures;Musik, Komedie, Familie, Fantasy, Drama;$27,300,000;https://www.youtube.com/watch?v=pNo-Q0IDJi0;https://www.youtube.com/watch?v=wF5yIMgQxwE;filmster://result?id=261;https://filmster.b-cdn.net/261/Filmster_261_DE_Video-1.mp4;https://filmster.b-cdn.net/261/Filmster_261_EN_Video-1.mp4;https://filmster.b-cdn.net/261/Filmster_261_DE_Video-2.mp4;https://filmster.b-cdn.net/261/Filmster_261_EN_Video-2.mp4;https://filmster.b-cdn.net/261/Filmster_261_DE_Video-3.mp4;https://filmster.b-cdn.net/261/Filmster_261_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_261_QR.png
262;The Lego Movie;The Lego Movie;2014;Phil Lord;Chris Pratt, Elizabeth Banks, Will Ferrell, Morgan Freeman, Will Arnett;USA, Denmark, Australia, Norway;Nein;7,7;Village Roadshow Pictures;Animation, Familie, Abenteuer, Komedie, Fantasy;$470,759,687;https://www.youtube.com/watch?v=fZ_JOBCLF-I;https://www.youtube.com/watch?v=E8r3hx1xYLM;filmster://result?id=262;https://filmster.b-cdn.net/262/Filmster_262_DE_Video-1.mp4;https://filmster.b-cdn.net/262/Filmster_262_EN_Video-1.mp4;https://filmster.b-cdn.net/262/Filmster_262_DE_Video-2.mp4;https://filmster.b-cdn.net/262/Filmster_262_EN_Video-2.mp4;https://filmster.b-cdn.net/262/Filmster_262_DE_Video-3.mp4;https://filmster.b-cdn.net/262/Filmster_262_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_262_QR.png
263;The Lego Batman Movie;The Lego Batman Movie;2017;Chris McKay;Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes, Zach Galifianakis;USA, Denmark, Australia;Nein;7,3;Lin Pictures;Animation, Action, Komedie, Familie;$311,950,384;https://www.youtube.com/watch?v=h6DOpfJzmo0;https://www.youtube.com/watch?v=8djQL7ZrlJY;filmster://result?id=263;https://filmster.b-cdn.net/263/Filmster_263_DE_Video-1.mp4;https://filmster.b-cdn.net/263/Filmster_263_EN_Video-1.mp4;https://filmster.b-cdn.net/263/Filmster_263_DE_Video-2.mp4;https://filmster.b-cdn.net/263/Filmster_263_EN_Video-2.mp4;https://filmster.b-cdn.net/263/Filmster_263_DE_Video-3.mp4;https://filmster.b-cdn.net/263/Filmster_263_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_263_QR.png
264;Goosebumps;Gänsehaut;2015;Rob Letterman;Jack Black, Dylan Minnette, Odeya Rush, Amy Ryan, Ryan Lee;USA, Australia;Nein;6,3;Original Film;Abenteuer, Horror, Komedie;$158,261,424;https://www.youtube.com/watch?v=7Cn716jv61s;https://www.youtube.com/watch?v=DpdP9-YZQRA;filmster://result?id=264;https://filmster.b-cdn.net/264/Filmster_264_DE_Video-1.mp4;https://filmster.b-cdn.net/264/Filmster_264_EN_Video-1.mp4;https://filmster.b-cdn.net/264/Filmster_264_DE_Video-2.mp4;https://filmster.b-cdn.net/264/Filmster_264_EN_Video-2.mp4;https://filmster.b-cdn.net/264/Filmster_264_DE_Video-3.mp4;https://filmster.b-cdn.net/264/Filmster_264_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_264_QR.png
265;The Spiderwick Chronicles;Die Geheimnisse der Spiderwicks;2008;Mark Waters;Freddie Highmore, Sarah Bolger, David Strathairn, Mary-Louise Parker, Nick Nolte;USA, Canada;Nein;6,5;Paramount Pictures;Familie, Abenteuer, Fantasy, Drama;$164,200,000;https://www.youtube.com/watch?v=I99bp9SOhcQ;https://www.youtube.com/watch?v=qszEc8M7fHo;filmster://result?id=265;https://filmster.b-cdn.net/265/Filmster_265_DE_Video-1.mp4;https://filmster.b-cdn.net/265/Filmster_265_EN_Video-1.mp4;https://filmster.b-cdn.net/265/Filmster_265_DE_Video-2.mp4;https://filmster.b-cdn.net/265/Filmster_265_EN_Video-2.mp4;https://filmster.b-cdn.net/265/Filmster_265_DE_Video-3.mp4;https://filmster.b-cdn.net/265/Filmster_265_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_265_QR.png
266;Hugo;Hugo Cabret;2011;Martin Scorsese;Asa Butterfield, Ben Kingsley, Chloë Grace Moretz, Sacha Baron Cohen, Ray Winstone;USA, UK;Nein;7,5;GK Films;Abenteuer, Drama, Familie;$185,770,160;https://www.youtube.com/watch?v=Hv3obL9HqyY;https://www.youtube.com/watch?v=lCUG9C03e4k;filmster://result?id=266;https://filmster.b-cdn.net/266/Filmster_266_DE_Video-1.mp4;https://filmster.b-cdn.net/266/Filmster_266_EN_Video-1.mp4;https://filmster.b-cdn.net/266/Filmster_266_DE_Video-2.mp4;https://filmster.b-cdn.net/266/Filmster_266_EN_Video-2.mp4;https://filmster.b-cdn.net/266/Filmster_266_DE_Video-3.mp4;https://filmster.b-cdn.net/266/Filmster_266_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_266_QR.png
267;Grease;Grease;1978;Randal Kleiser;Olivia Newton-John, John Travolta, Stockard Channing, Jeff Conaway, Barry Pearl;USA;Nein;7,2;Paramount Pictures;Liebesfilm, Komedie;$396,271,103;https://www.youtube.com/watch?v=qDKo8DNpwOw;https://www.youtube.com/watch?v=THd96gHV7Tg;filmster://result?id=267;https://filmster.b-cdn.net/267/Filmster_267_DE_Video-1.mp4;https://filmster.b-cdn.net/267/Filmster_267_EN_Video-1.mp4;https://filmster.b-cdn.net/267/Filmster_267_DE_Video-2.mp4;https://filmster.b-cdn.net/267/Filmster_267_EN_Video-2.mp4;https://filmster.b-cdn.net/267/Filmster_267_DE_Video-3.mp4;https://filmster.b-cdn.net/267/Filmster_267_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_267_QR.png
268;The Breakfast Club;The Breakfast Club;1985;John Hughes;Emilio Estevez, Judd Nelson, Molly Ringwald, Anthony Michael Hall, Ally Sheedy;USA;Nein;7,8;Universal Pictures;Komedie, Drama;$51,525,171;https://www.youtube.com/watch?v=BSXBvor47Zs;https://www.youtube.com/watch?v=87qDTR6WcLE;filmster://result?id=268;https://filmster.b-cdn.net/268/Filmster_268_DE_Video-1.mp4;https://filmster.b-cdn.net/268/Filmster_268_EN_Video-1.mp4;https://filmster.b-cdn.net/268/Filmster_268_DE_Video-2.mp4;https://filmster.b-cdn.net/268/Filmster_268_EN_Video-2.mp4;;https://filmster.b-cdn.net/268/Filmster_268_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_268_QR.png
269;Ferris Bueller's Day Off;Ferris macht Blau;1986;John Hughes;Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey;USA;Nein;7,8;Paramount Pictures;Komedie;$70,100,000;https://www.youtube.com/watch?v=0ZDbKhkLxTs;https://www.youtube.com/watch?v=0ZDbKhkLxTs;filmster://result?id=269;https://filmster.b-cdn.net/269/Filmster_269_DE_Video-1.mp4;https://filmster.b-cdn.net/269/Filmster_269_EN_Video-1.mp4;https://filmster.b-cdn.net/269/Filmster_269_DE_Video-2.mp4;https://filmster.b-cdn.net/269/Filmster_269_EN_Video-2.mp4;https://filmster.b-cdn.net/269/Filmster_269_DE_Video-3.mp4;https://filmster.b-cdn.net/269/Filmster_269_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_269_QR.png
270;Clueless;Clueless - Was sonst!;1995;Amy Heckerling;Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison;USA;Nein;6,9;Paramount Pictures;Komedie, Liebesfilm;$56,631,572;https://www.youtube.com/watch?v=Mgjwq1ZzdPQ;https://www.youtube.com/watch?v=CGt09k_2X-E;filmster://result?id=270;https://filmster.b-cdn.net/270/Filmster_270_DE_Video-1.mp4;https://filmster.b-cdn.net/270/Filmster_270_EN_Video-1.mp4;https://filmster.b-cdn.net/270/Filmster_270_DE_Video-2.mp4;https://filmster.b-cdn.net/270/Filmster_270_EN_Video-2.mp4;https://filmster.b-cdn.net/270/Filmster_270_DE_Video-3.mp4;https://filmster.b-cdn.net/270/Filmster_270_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_270_QR.png
271;10 Things I Hate About You;10 Dinge, die ich an Dir hasse;1999;Gil Junger;Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz;USA;Nein;7,3;Mad Chance;Komedie, Liebesfilm, Drama;$53,478,166;https://www.youtube.com/watch?v=Ax8qnxP2TWY;https://www.youtube.com/watch?v=9p7O0CN7GNU;filmster://result?id=271;https://filmster.b-cdn.net/271/Filmster_271_DE_Video-1.mp4;https://filmster.b-cdn.net/271/Filmster_271_EN_Video-1.mp4;https://filmster.b-cdn.net/271/Filmster_271_DE_Video-2.mp4;https://filmster.b-cdn.net/271/Filmster_271_EN_Video-2.mp4;https://filmster.b-cdn.net/271/Filmster_271_DE_Video-3.mp4;https://filmster.b-cdn.net/271/Filmster_271_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_271_QR.png
272;American Pie;American Pie;1999;Paul Weitz;Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan, Shannon Elizabeth;USA;Nein;7;Universal Pictures;Komedie, Liebesfilm;$235,483,004;https://www.youtube.com/watch?v=rXQMzZGWHv0;https://www.youtube.com/watch?v=xwkdSwGBLiU;filmster://result?id=272;https://filmster.b-cdn.net/272/Filmster_272_DE_Video-1.mp4;https://filmster.b-cdn.net/272/Filmster_272_EN_Video-1.mp4;https://filmster.b-cdn.net/272/Filmster_272_DE_Video-2.mp4;https://filmster.b-cdn.net/272/Filmster_272_EN_Video-2.mp4;https://filmster.b-cdn.net/272/Filmster_272_DE_Video-3.mp4;https://filmster.b-cdn.net/272/Filmster_272_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_272_QR.png
273;She's All That;Eine wie keine;1999;Robert Iscove;Freddie Prinze Jr., Rachael Leigh Cook, Paul Walker, Jodi Lyn O'Keefe, Kevin Pollak;USA;Nein;5,9;Tapestry Films;Komedie, Liebesfilm;$103,166,989;https://www.youtube.com/watch?v=zpaSBrI3PGM;https://www.youtube.com/watch?v=5tfOU6Kpvyw;filmster://result?id=273;https://filmster.b-cdn.net/273/Filmster_273_DE_Video-1.mp4;https://filmster.b-cdn.net/273/Filmster_273_EN_Video-1.mp4;https://filmster.b-cdn.net/273/Filmster_273_DE_Video-2.mp4;https://filmster.b-cdn.net/273/Filmster_273_EN_Video-2.mp4;https://filmster.b-cdn.net/273/Filmster_273_DE_Video-3.mp4;https://filmster.b-cdn.net/273/Filmster_273_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_273_QR.png
274;Bring It On;Girls United;2000;Peyton Reed;Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union, Sherry Hursey;USA;Nein;6,1;Universal Pictures;Komedie;$90,449,929;https://www.youtube.com/watch?v=4Fza-ZDQE6c;https://www.youtube.com/watch?v=GgNKN_F08Yc;filmster://result?id=274;https://filmster.b-cdn.net/274/Filmster_274_DE_Video-1.mp4;https://filmster.b-cdn.net/274/Filmster_274_EN_Video-1.mp4;https://filmster.b-cdn.net/274/Filmster_274_DE_Video-2.mp4;https://filmster.b-cdn.net/274/Filmster_274_EN_Video-2.mp4;https://filmster.b-cdn.net/274/Filmster_274_DE_Video-3.mp4;https://filmster.b-cdn.net/274/Filmster_274_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_274_QR.png
275;Mean Girls;Girls Club - Vorsicht bissig!;2004;Mark Waters;Lindsay Lohan, Rachel McAdams, Lizzy Caplan, Lacey Chabert, Amanda Seyfried;USA, Canada;Nein;7,1;Broadway Video;Drama, Komedie;$130,161,094;https://www.youtube.com/watch?v=oDU84nmSDZY;https://www.youtube.com/watch?v=s-RRcyaqYGQ;filmster://result?id=275;https://filmster.b-cdn.net/275/Filmster_275_DE_Video-1.mp4;https://filmster.b-cdn.net/275/Filmster_275_EN_Video-1.mp4;https://filmster.b-cdn.net/275/Filmster_275_DE_Video-2.mp4;https://filmster.b-cdn.net/275/Filmster_275_EN_Video-2.mp4;https://filmster.b-cdn.net/275/Filmster_275_DE_Video-3.mp4;https://filmster.b-cdn.net/275/Filmster_275_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_275_QR.png
276;A Walk to Remember;Nur mit Dir;2002;Adam Shankman;Mandy Moore, Shane West, Peter Coyote, Daryl Hannah, Lauren German;USA;Nein;7,3;Gaylord Films;Drama, Liebesfilm;$47,494,916;https://www.youtube.com/watch?v=Kq02sBe5xko;https://www.youtube.com/watch?v=iCAbq_estmg;filmster://result?id=276;https://filmster.b-cdn.net/276/Filmster_276_DE_Video-1.mp4;https://filmster.b-cdn.net/276/Filmster_276_EN_Video-1.mp4;https://filmster.b-cdn.net/276/Filmster_276_DE_Video-2.mp4;https://filmster.b-cdn.net/276/Filmster_276_EN_Video-2.mp4;;https://filmster.b-cdn.net/276/Filmster_276_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_276_QR.png
277;The Sisterhood of the Traveling Pants;Eine für 4;2005;Ken Kwapis;Amber Tamblyn, America Ferrera, Blake Lively, Alexis Bledel, Bradley Whitford;USA;Nein;6,5;Alloy Entertainment;Drama, Komedie, Liebesfilm;$39,053,061;https://www.youtube.com/watch?v=6gWcI4MkR3A;https://www.youtube.com/watch?v=eV1IkLvTe1I;filmster://result?id=277;https://filmster.b-cdn.net/277/Filmster_277_DE_Video-1.mp4;https://filmster.b-cdn.net/277/Filmster_277_EN_Video-1.mp4;https://filmster.b-cdn.net/277/Filmster_277_DE_Video-2.mp4;https://filmster.b-cdn.net/277/Filmster_277_EN_Video-2.mp4;https://filmster.b-cdn.net/277/Filmster_277_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_277_QR.png
278;High School Musical;High School Musical Remix;2006;Kenny Ortega;Zac Efron, Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Monique Coleman;USA;Nein;5,6;Salty Pictures, First Street Films;Komedie, Drama, Familie, Musik, Liebesfilm;;https://www.youtube.com/watch?v=mpgel-TjMKk;https://www.youtube.com/watch?v=kBn1L2PfvlI;filmster://result?id=278;https://filmster.b-cdn.net/278/Filmster_278_DE_Video-1.mp4;https://filmster.b-cdn.net/278/Filmster_278_EN_Video-1.mp4;;;;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_278_QR.png
279;Juno;Juno;2007;Jason Reitman;Elliot Page, Michael Cera, Jennifer Garner, Jason Bateman, J.K. Simmons;USA, Canada;Nein;7,4;Mandate Pictures;Komedie, Drama, Liebesfilm;$232,372,681;https://www.youtube.com/watch?v=K0SKf0K3bxg;https://www.youtube.com/watch?v=8sa0xbRv2zQ;filmster://result?id=279;https://filmster.b-cdn.net/279/Filmster_279_DE_Video-1.mp4;https://filmster.b-cdn.net/279/Filmster_279_EN_Video-1.mp4;https://filmster.b-cdn.net/279/Filmster_279_DE_Video-2.mp4;https://filmster.b-cdn.net/279/Filmster_279_EN_Video-2.mp4;https://filmster.b-cdn.net/279/Filmster_279_DE_Video-3.mp4;https://filmster.b-cdn.net/279/Filmster_279_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_279_QR.png
280;Twilight;Twilight - Biss zum Morgengrauen;2008;Catherine Hardwicke;Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Ashley Greene;USA, UK;Nein;5,3;Summit Entertainment;Fantasy, Drama, Liebesfilm;$393,616,788;https://www.youtube.com/watch?v=uxjNDE2fMjI;https://www.youtube.com/watch?v=2cXukjy6rsc;filmster://result?id=280;https://filmster.b-cdn.net/280/Filmster_280_DE_Video-1.mp4;https://filmster.b-cdn.net/280/Filmster_280_EN_Video-1.mp4;https://filmster.b-cdn.net/280/Filmster_280_DE_Video-2.mp4;https://filmster.b-cdn.net/280/Filmster_280_EN_Video-2.mp4;https://filmster.b-cdn.net/280/Filmster_280_DE_Video-3.mp4;https://filmster.b-cdn.net/280/Filmster_280_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_280_QR.png
281;Easy A;Einfach zu haben;2010;Will Gluck;Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church;USA;Nein;7;Screen Gems;Komedie;$75,026,327;https://www.youtube.com/watch?v=KNbPnqyvItk;https://www.youtube.com/watch?v=wSU-UQHNcns;filmster://result?id=281;https://filmster.b-cdn.net/281/Filmster_281_DE_Video-1.mp4;https://filmster.b-cdn.net/281/Filmster_281_EN_Video-1.mp4;https://filmster.b-cdn.net/281/Filmster_281_DE_Video-2.mp4;https://filmster.b-cdn.net/281/Filmster_281_EN_Video-2.mp4;https://filmster.b-cdn.net/281/Filmster_281_DE_Video-3.mp4;https://filmster.b-cdn.net/281/Filmster_281_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_281_QR.png
282;The Perks of Being a Wallflower;Vielleicht lieber morgen;2012;Stephen Chbosky;Logan Lerman, Emma Watson, Ezra Miller, Mae Whitman, Kate Walsh;USA;Nein;7,9;Mr. Mudd;Drama;$33,384,127;https://www.youtube.com/watch?v=n5rh7O4IDc0;https://www.youtube.com/watch?v=RECBg74jqJ4;filmster://result?id=282;https://filmster.b-cdn.net/282/Filmster_282_DE_Video-1.mp4;https://filmster.b-cdn.net/282/Filmster_282_EN_Video-1.mp4;https://filmster.b-cdn.net/282/Filmster_282_DE_Video-2.mp4;https://filmster.b-cdn.net/282/Filmster_282_EN_Video-2.mp4;https://filmster.b-cdn.net/282/Filmster_282_DE_Video-3.mp4;https://filmster.b-cdn.net/282/Filmster_282_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_282_QR.png
283;The Fault in Our Stars;Das Schicksal ist ein mieser Verräter;2014;Josh Boone;Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern, Sam Trammell;USA;Nein;7,6;TSG Entertainment;Liebesfilm, Drama;$307,166,834;https://www.youtube.com/watch?v=9ItBvH5J6ss;https://www.youtube.com/watch?v=Lc6p3RM-c4I;filmster://result?id=283;https://filmster.b-cdn.net/283/Filmster_283_DE_Video-1.mp4;https://filmster.b-cdn.net/283/Filmster_283_EN_Video-1.mp4;https://filmster.b-cdn.net/283/Filmster_283_DE_Video-2.mp4;https://filmster.b-cdn.net/283/Filmster_283_EN_Video-2.mp4;https://filmster.b-cdn.net/283/Filmster_283_DE_Video-3.mp4;https://filmster.b-cdn.net/283/Filmster_283_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_283_QR.png
284;Love, Simon;Love, Simon;2018;Greg Berlanti;Nick Robinson, Logan Miller, Alexandra Shipp, Katherine Langford, Jorge Lendeborg Jr.;USA;Nein;7,5;Temple Hill Entertainment;Komedie, Drama, Liebesfilm;$66,316,289;https://www.youtube.com/watch?v=E0cbWdlQg_8;https://www.youtube.com/watch?v=EAdOceV0niU;filmster://result?id=284;https://filmster.b-cdn.net/284/Filmster_284_DE_Video-1.mp4;https://filmster.b-cdn.net/284/Filmster_284_EN_Video-1.mp4;https://filmster.b-cdn.net/284/Filmster_284_DE_Video-2.mp4;https://filmster.b-cdn.net/284/Filmster_284_EN_Video-2.mp4;https://filmster.b-cdn.net/284/Filmster_284_DE_Video-3.mp4;https://filmster.b-cdn.net/284/Filmster_284_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_284_QR.png
285;To All the Boys I've Loved Before;To All the Boys I've Loved Before;2018;Susan Johnson;Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Andrew Bachelor;USA;Nein;7;Awesomeness Films;Komedie, Liebesfilm;;https://www.youtube.com/watch?v=555oiY9RWM4;https://www.youtube.com/watch?v=82e-rrTDtrw;filmster://result?id=285;https://filmster.b-cdn.net/285/Filmster_285_DE_Video-1.mp4;https://filmster.b-cdn.net/285/Filmster_285_EN_Video-1.mp4;https://filmster.b-cdn.net/285/Filmster_285_DE_Video-2.mp4;https://filmster.b-cdn.net/285/Filmster_285_EN_Video-2.mp4;https://filmster.b-cdn.net/285/Filmster_285_DE_Video-3.mp4;https://filmster.b-cdn.net/285/Filmster_285_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_285_QR.png
286;Booksmart;Booksmart;2019;Olivia Wilde;Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis, Lisa Kudrow;USA;Nein;7,1;Annapurna Pictures;Komedie;$24,849,029;https://www.youtube.com/watch?v=S0Mb6BgnhS0;https://www.youtube.com/watch?v=AkUx65o49Rs;filmster://result?id=286;https://filmster.b-cdn.net/286/Filmster_286_DE_Video-1.mp4;https://filmster.b-cdn.net/286/Filmster_286_EN_Video-1.mp4;https://filmster.b-cdn.net/286/Filmster_286_DE_Video-2.mp4;https://filmster.b-cdn.net/286/Filmster_286_EN_Video-2.mp4;https://filmster.b-cdn.net/286/Filmster_286_DE_Video-3.mp4;https://filmster.b-cdn.net/286/Filmster_286_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_286_QR.png
287;Eighth Grade;Eighth Grade;2018;Bo Burnham;Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan, Daniel Zolghadri;USA;Nein;7,4;A24;Komedie, Drama;$13,539,709;https://www.youtube.com/watch?v=y8lFgF_IjPw;https://www.youtube.com/watch?v=y8lFgF_IjPw;filmster://result?id=287;https://filmster.b-cdn.net/287/Filmster_287_DE_Video-1.mp4;https://filmster.b-cdn.net/287/Filmster_287_EN_Video-1.mp4;https://filmster.b-cdn.net/287/Filmster_287_DE_Video-2.mp4;https://filmster.b-cdn.net/287/Filmster_287_EN_Video-2.mp4;https://filmster.b-cdn.net/287/Filmster_287_DE_Video-3.mp4;https://filmster.b-cdn.net/287/Filmster_287_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_287_QR.png
288;The Edge of Seventeen;The Edge of Seventeen - Das Jahr der Entscheidung;2016;Kelly Fremon Craig;Hailee Steinfeld, Woody Harrelson, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick;USA, China;Nein;7,3;Tang Media Productions;Komedie, Drama;$18,803,648;https://www.youtube.com/watch?v=vswj96INhmo;https://www.youtube.com/watch?v=ABzUsYXqYTo;filmster://result?id=288;https://filmster.b-cdn.net/288/Filmster_288_DE_Video-1.mp4;https://filmster.b-cdn.net/288/Filmster_288_EN_Video-1.mp4;https://filmster.b-cdn.net/288/Filmster_288_DE_Video-2.mp4;https://filmster.b-cdn.net/288/Filmster_288_EN_Video-2.mp4;https://filmster.b-cdn.net/288/Filmster_288_DE_Video-3.mp4;https://filmster.b-cdn.net/288/Filmster_288_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_288_QR.png
289;Superbad;Superbad;2007;Greg Mottola;Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader, Seth Rogen;USA;Nein;7,6;Columbia Pictures;Komedie;$170,800,000;https://www.youtube.com/watch?v=4eaZ_48ZYog;https://www.youtube.com/watch?v=O-ylzkTIKmA;filmster://result?id=289;https://filmster.b-cdn.net/289/Filmster_289_DE_Video-1.mp4;https://filmster.b-cdn.net/289/Filmster_289_EN_Video-1.mp4;https://filmster.b-cdn.net/289/Filmster_289_DE_Video-2.mp4;https://filmster.b-cdn.net/289/Filmster_289_EN_Video-2.mp4;https://filmster.b-cdn.net/289/Filmster_289_DE_Video-3.mp4;https://filmster.b-cdn.net/289/Filmster_289_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_289_QR.png
290;Mission: Impossible;Mission: Impossible;1996;Brian De Palma;Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny, Jean Reno;USA;Nein;7,2;Paramount Pictures;Abenteuer, Action, Thriller;$457,696,391;https://www.youtube.com/watch?v=L8Pbjh4EZRk;https://www.youtube.com/watch?v=gOGLStTdsaM;filmster://result?id=290;https://filmster.b-cdn.net/290/Filmster_290_DE_Video-1.mp4;https://filmster.b-cdn.net/290/Filmster_290_EN_Video-1.mp4;https://filmster.b-cdn.net/290/Filmster_290_DE_Video-2.mp4;https://filmster.b-cdn.net/290/Filmster_290_EN_Video-2.mp4;https://filmster.b-cdn.net/290/Filmster_290_DE_Video-3.mp4;https://filmster.b-cdn.net/290/Filmster_290_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_290_QR.png
291;Mission: Impossible II;Mission: Impossible II;2000;John Woo;Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames, Richard Roxburgh;USA, Germany, Australia;Nein;6,1;Paramount Pictures;Abenteuer, Action, Thriller;$546,388,108;https://www.youtube.com/watch?v=hSPtsCQq52k;https://www.youtube.com/watch?v=hSPtsCQq52k;filmster://result?id=291;https://filmster.b-cdn.net/291/Filmster_291_DE_Video-1.mp4;https://filmster.b-cdn.net/291/Filmster_291_EN_Video-1.mp4;https://filmster.b-cdn.net/291/Filmster_291_DE_Video-2.mp4;https://filmster.b-cdn.net/291/Filmster_291_EN_Video-2.mp4;https://filmster.b-cdn.net/291/Filmster_291_DE_Video-3.mp4;https://filmster.b-cdn.net/291/Filmster_291_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_291_QR.png
